time,gFx,gFy,gFz,TgF
15:42:44:184,0.9162,0.0544,0.3726,0.991
15:42:44:192,0.9176,0.0527,0.3684,0.990
15:42:44:194,0.9179,0.0518,0.3669,0.990
15:42:44:198,0.9176,0.0520,0.3686,0.990
15:42:44:203,0.9169,0.0518,0.3721,0.991
15:42:44:209,0.9159,0.0527,0.3772,0.992
15:42:44:213,0.9145,0.0542,0.3799,0.992
15:42:44:218,0.9120,0.0559,0.3801,0.990
15:42:44:225,0.9103,0.0564,0.3787,0.988
15:42:44:229,0.9115,0.0549,0.3772,0.988
15:42:44:233,0.9157,0.0508,0.3748,0.991
15:42:44:238,0.9201,0.0461,0.3755,0.995
15:42:44:250,0.9216,0.0420,0.3799,0.998
15:42:44:250,0.9233,0.0371,0.3853,1.001
15:42:44:253,0.9252,0.0344,0.3858,1.003
15:42:44:260,0.9257,0.0339,0.3840,1.003
15:42:44:263,0.9242,0.0359,0.3787,0.999
15:42:44:269,0.9206,0.0388,0.3743,0.995
15:42:44:274,0.9172,0.0398,0.3699,0.990
15:42:44:279,0.9159,0.0395,0.3689,0.988
15:42:44:284,0.9152,0.0412,0.3721,0.989
15:42:44:292,0.9150,0.0452,0.3757,0.990
15:42:44:293,0.9135,0.0493,0.3784,0.990
15:42:44:299,0.9128,0.0520,0.3806,0.990
15:42:44:303,0.9118,0.0518,0.3804,0.989
15:42:44:309,0.9132,0.0493,0.3770,0.989
15:42:44:314,0.9162,0.0461,0.3704,0.989
15:42:44:318,0.9184,0.0434,0.3667,0.990
15:42:44:325,0.9186,0.0415,0.3696,0.991
15:42:44:329,0.9167,0.0415,0.3787,0.993
15:42:44:335,0.9147,0.0434,0.3877,0.994
15:42:44:338,0.9128,0.0466,0.3941,0.995
15:42:44:343,0.9140,0.0500,0.3958,0.997
15:42:44:349,0.9157,0.0520,0.3916,0.997
15:42:44:354,0.9181,0.0513,0.3821,0.996
15:42:44:360,0.9203,0.0498,0.3728,0.994
15:42:44:363,0.9186,0.0508,0.3630,0.989
15:42:44:370,0.9172,0.0510,0.3547,0.985
15:42:44:375,0.9167,0.0500,0.3579,0.985
15:42:44:379,0.9154,0.0503,0.3721,0.989
15:42:44:384,0.9137,0.0518,0.3884,0.994
15:42:44:392,0.9125,0.0532,0.3994,0.998
15:42:44:394,0.9130,0.0542,0.4019,0.999
15:42:44:399,0.9145,0.0544,0.3985,0.999
15:42:44:406,0.9152,0.0525,0.3938,0.998
15:42:44:409,0.9152,0.0522,0.3928,0.997
