time,gFx,gFy,gFz,TgF
15:38:07:419,0.9949,0.0537,0.0404,0.997
15:38:07:423,0.9854,0.0518,0.0313,0.987
15:38:07:428,0.9746,0.0481,0.0323,0.976
15:38:07:433,0.9665,0.0483,0.0462,0.969
15:38:07:439,0.9651,0.0491,0.0528,0.968
15:38:07:443,0.9612,0.0469,0.0501,0.964
15:38:07:450,0.9531,0.0464,0.0497,0.956
15:38:07:453,0.9462,0.0466,0.0550,0.949
15:38:07:460,0.9502,0.0439,0.0523,0.953
15:38:07:464,0.9543,0.0398,0.0387,0.956
15:38:07:470,0.9528,0.0354,0.0242,0.954
15:38:07:474,0.9538,0.0290,0.0176,0.954
15:38:07:478,0.9575,0.0241,0.0201,0.958
15:38:07:483,0.9612,0.0229,0.0233,0.962
15:38:07:490,0.9626,0.0263,0.0267,0.963
15:38:07:493,0.9634,0.0288,0.0311,0.964
15:38:07:499,0.9643,0.0317,0.0396,0.966
15:38:07:504,0.9660,0.0359,0.0521,0.968
15:38:07:509,0.9697,0.0378,0.0638,0.973
15:38:07:515,0.9712,0.0400,0.0734,0.975
15:38:07:521,0.9714,0.0420,0.0746,0.975
15:38:07:525,0.9736,0.0420,0.0677,0.977
15:38:07:535,0.9766,0.0408,0.0614,0.979
15:38:07:536,0.9785,0.0390,0.0565,0.981
15:38:07:539,0.9792,0.0393,0.0514,0.981
15:38:07:545,0.9814,0.0390,0.0499,0.983
15:38:07:550,0.9829,0.0400,0.0499,0.985
15:38:07:554,0.9795,0.0430,0.0501,0.982
15:38:07:559,0.9775,0.0456,0.0514,0.980
15:38:07:564,0.9788,0.0469,0.0550,0.981
15:38:07:569,0.9792,0.0464,0.0589,0.982
15:38:07:574,0.9780,0.0452,0.0621,0.981
15:38:07:580,0.9788,0.0452,0.0624,0.982
15:38:07:584,0.9805,0.0452,0.0599,0.983
15:38:07:589,0.9827,0.0437,0.0565,0.985
15:38:07:598,0.9851,0.0430,0.0553,0.988
15:38:07:599,0.9876,0.0412,0.0565,0.990
15:38:07:604,0.9895,0.0390,0.0602,0.992
15:38:07:612,0.9912,0.0378,0.0619,0.994
15:38:07:614,0.9907,0.0383,0.0589,0.993
15:38:07:620,0.9890,0.0403,0.0545,0.991
15:38:07:624,0.9885,0.0381,0.0519,0.991
15:38:07:630,0.9883,0.0346,0.0523,0.990
15:38:07:634,0.9863,0.0337,0.0558,0.988
15:38:07:639,0.9824,0.0342,0.0592,0.985
15:38:07:644,0.9780,0.0356,0.0636,0.981
15:38:07:650,0.9744,0.0364,0.0682,0.977
15:38:07:654,0.9690,0.0376,0.0714,0.972
15:38:07:660,0.9636,0.0386,0.0736,0.967
15:38:07:664,0.9607,0.0378,0.0692,0.964
15:38:07:670,0.9629,0.0359,0.0611,0.965
15:38:07:675,0.9697,0.0339,0.0548,0.972
15:38:07:679,0.9756,0.0332,0.0492,0.977
15:38:07:684,0.9780,0.0339,0.0391,0.979
15:38:07:690,0.9792,0.0344,0.0264,0.980
15:38:07:700,0.9807,0.0332,0.0096,0.981
15:38:07:702,0.9819,0.0320,0.0066,0.982
15:38:07:705,0.9844,0.0317,0.0174,0.985
15:38:07:716,0.9844,0.0310,0.0311,0.985
15:38:07:717,0.9836,0.0322,0.0404,0.985
15:38:07:719,0.9834,0.0349,0.0438,0.985
15:38:07:724,0.9849,0.0356,0.0457,0.987
15:38:07:731,0.9880,0.0339,0.0433,0.990
15:38:07:735,0.9922,0.0307,0.0418,0.994
15:38:07:739,0.9942,0.0288,0.0431,0.996
15:38:07:744,0.9920,0.0305,0.0453,0.993
15:38:07:750,0.9856,0.0356,0.0607,0.988
15:38:07:755,0.9856,0.0395,0.0841,0.990
15:38:07:759,1.0012,0.0332,0.0699,1.004
15:38:07:765,1.0100,0.0283,0.0409,1.011
15:38:07:770,0.9961,0.0324,0.0235,0.997
15:38:07:775,0.9731,0.0383,0.0291,0.974
15:38:07:781,0.9599,0.0434,0.0394,0.962
15:38:07:784,0.9592,0.0469,0.0465,0.961
15:38:07:791,0.9658,0.0464,0.0433,0.968
15:38:07:798,0.9704,0.0449,0.0284,0.972
15:38:07:801,0.9692,0.0444,0.0115,0.970
15:38:07:806,0.9658,0.0456,0.0140,0.967
15:38:07:811,0.9641,0.0496,0.0343,0.966
15:38:07:815,0.9636,0.0510,0.0604,0.967
15:38:07:820,0.9670,0.0515,0.0670,0.971
15:38:07:824,0.9751,0.0532,0.0587,0.978
15:38:07:831,0.9841,0.0549,0.0472,0.987
15:38:07:835,0.9922,0.0540,0.0382,0.994
15:38:07:840,0.9976,0.0493,0.0318,0.999
15:38:07:847,1.0017,0.0461,0.0296,1.003
15:38:07:851,1.0066,0.0442,0.0264,1.008
15:38:07:856,1.0108,0.0469,0.0277,1.012
15:38:07:860,1.0144,0.0486,0.0340,1.016
15:38:07:865,1.0135,0.0510,0.0453,1.016
15:38:07:872,1.0093,0.0525,0.0489,1.012
15:38:07:876,1.0061,0.0535,0.0501,1.009
15:38:07:881,1.0054,0.0562,0.0531,1.008
15:38:07:885,1.0030,0.0588,0.0541,1.006
15:38:07:891,0.9993,0.0601,0.0548,1.003
15:38:07:898,0.9959,0.0593,0.0531,0.999
15:38:07:902,0.9944,0.0564,0.0541,0.997
15:38:07:906,0.9910,0.0527,0.0587,0.994
15:38:07:917,0.9839,0.0532,0.0611,0.987
15:38:07:919,0.9790,0.0540,0.0589,0.982
15:38:07:921,0.9788,0.0515,0.0531,0.982
15:38:07:925,0.9800,0.0466,0.0457,0.982
15:38:07:931,0.9795,0.0442,0.0433,0.981
15:38:07:935,0.9770,0.0437,0.0443,0.979
15:38:07:940,0.9758,0.0393,0.0489,0.978
15:38:07:946,0.9773,0.0339,0.0514,0.979
15:38:07:951,0.9814,0.0334,0.0531,0.983
15:38:07:956,0.9841,0.0337,0.0536,0.986
15:38:07:961,0.9827,0.0312,0.0504,0.984
15:38:07:966,0.9792,0.0280,0.0391,0.980
15:38:07:971,0.9761,0.0263,0.0255,0.977
15:38:07:976,0.9704,0.0278,0.0142,0.971
