time,gFx,gFy,gFz,TgF
17:16:38:272,0.9414,0.0757,0.1479,0.956
17:16:38:276,0.9230,0.0630,0.1416,0.936
17:16:38:280,0.9216,0.0415,0.1489,0.934
17:16:38:285,0.9272,0.0276,0.1513,0.940
17:16:38:290,0.9330,0.0234,0.1482,0.945
17:16:38:295,0.9416,0.0210,0.1408,0.952
17:16:38:300,0.9536,0.0183,0.1374,0.964
17:16:38:305,0.9663,0.0148,0.1376,0.976
17:16:38:310,0.9797,0.0053,0.1350,0.989
17:16:38:316,0.9673,0.0337,0.1313,0.977
17:16:38:322,0.9504,0.0640,0.1411,0.963
17:16:38:326,0.9465,0.0623,0.1584,0.962
17:16:38:330,0.9565,0.0337,0.1821,0.974
17:16:38:336,0.9487,0.0439,0.1919,0.969
17:16:38:344,0.9262,0.0953,0.2080,0.954
17:16:38:348,0.9018,0.1060,0.1873,0.927
17:16:38:350,0.8472,0.0789,0.1594,0.866
17:16:38:356,0.8226,0.0425,0.1667,0.840
17:16:38:360,0.8340,0.0188,0.1626,0.850
17:16:38:365,0.8472,0.0085,0.1220,0.856
17:16:38:372,0.8453,-0.0032,0.0697,0.848
17:16:38:376,0.8433,-0.0196,0.0377,0.844
17:16:38:380,0.8367,-0.0328,0.0115,0.837
17:16:38:386,0.8299,-0.0409,0.0086,0.831
17:16:38:391,0.8411,-0.0421,0.0330,0.843
17:16:38:398,0.8551,-0.0399,0.0580,0.858
17:16:38:400,0.8648,-0.0384,0.0787,0.869
17:16:38:406,0.8846,-0.0350,0.1032,0.891
17:16:38:411,0.8966,-0.0309,0.0980,0.902
17:16:38:417,0.8868,-0.0343,0.0885,0.892
17:16:38:422,0.8893,-0.0406,0.0936,0.895
17:16:38:426,0.9059,-0.0470,0.0973,0.912
17:16:38:431,0.9282,-0.0529,0.0971,0.935
17:16:38:437,0.9335,-0.0575,0.0863,0.939
17:16:38:444,0.9377,-0.0629,0.0765,0.943
17:16:38:446,0.9480,-0.0670,0.0624,0.952
17:16:38:451,0.9609,-0.0783,0.0553,0.966
17:16:38:460,0.9695,-0.0888,0.0680,0.976
17:16:38:461,0.9802,-0.1086,0.0983,0.991
17:16:38:466,0.9836,-0.1032,0.1467,1.000
17:16:38:471,0.9795,-0.0898,0.1941,1.003
17:16:38:478,0.9619,-0.0697,0.2242,0.990
17:16:38:481,0.9350,-0.0492,0.2413,0.967
17:16:38:487,0.9142,-0.0409,0.2523,0.949
17:16:38:492,0.9040,-0.0453,0.2596,0.942
17:16:38:496,0.8932,-0.0458,0.2540,0.930
17:16:38:501,0.8793,-0.0260,0.2408,0.912
17:16:38:506,0.8815,-0.0211,0.2296,0.911
17:16:38:511,0.8956,-0.0367,0.2137,0.922
17:16:38:517,0.8983,-0.0482,0.1985,0.921
17:16:38:526,0.8871,-0.0560,0.1880,0.909
17:16:38:527,0.8751,-0.0619,0.1772,0.895
17:16:38:532,0.8707,-0.0663,0.1672,0.889
17:16:38:539,0.8705,-0.0680,0.1609,0.888
17:16:38:542,0.8675,-0.0729,0.1592,0.885
17:16:38:546,0.8609,-0.0744,0.1594,0.879
17:16:38:552,0.8573,-0.0719,0.1567,0.874
17:16:38:558,0.8570,-0.0714,0.1504,0.873
17:16:38:561,0.8670,-0.0832,0.1359,0.882
17:16:38:567,0.8734,-0.0810,0.1340,0.887
17:16:38:572,0.8817,-0.0766,0.1335,0.895
