time,gFx,gFy,gFz,TgF
17:22:03:048,1.2704,0.0080,-0.0173,1.271
17:22:03:052,1.3117,-0.0167,0.0631,1.313
17:22:03:057,1.3530,-0.0247,0.1103,1.358
17:22:03:062,1.3393,-0.0355,0.1293,1.346
17:22:03:067,1.3080,-0.0426,0.1474,1.317
17:22:03:072,1.3183,-0.0309,0.1650,1.329
17:22:03:077,1.3523,-0.0106,0.1528,1.361
17:22:03:083,1.3840,0.0073,0.1156,1.389
17:22:03:087,1.4011,0.0219,0.0897,1.404
17:22:03:092,1.4136,0.0368,0.0897,1.417
17:22:03:097,1.4295,0.0557,0.0807,1.433
17:22:03:103,1.4469,0.0774,0.0514,1.450
17:22:03:108,1.4635,0.0992,0.0284,1.467
17:22:03:113,1.4732,0.1109,0.0240,1.478
17:22:03:119,1.4896,0.1060,0.0418,1.494
17:22:03:123,1.5248,0.0938,0.0795,1.530
17:22:03:129,1.5776,0.0896,0.1342,1.586
17:22:03:136,1.6209,0.1026,0.2036,1.637
17:22:03:138,1.6165,0.1363,0.2655,1.644
17:22:03:144,1.5617,0.1789,0.3031,1.601
17:22:03:151,1.5901,0.2075,0.3271,1.637
17:22:03:155,1.7832,0.2226,0.3325,1.828
17:22:03:157,1.9379,0.2243,0.2689,1.969
17:22:03:163,1.8988,0.2089,0.1882,1.920
17:22:03:168,1.8238,0.1830,0.1743,1.841
17:22:03:173,1.7790,0.1622,0.1934,1.797
17:22:03:177,1.6710,0.1129,0.2066,1.687
17:22:03:183,1.5581,0.0664,0.2159,1.574
17:22:03:194,1.4745,0.0366,0.2061,1.489
17:22:03:195,1.4153,0.0151,0.1770,1.426
17:22:03:198,1.3596,0.0019,0.1428,1.367
17:22:03:204,1.2992,-0.0023,0.1196,1.305
17:22:03:207,1.2396,-0.0076,0.1081,1.244
17:22:03:212,1.1904,-0.0135,0.1093,1.196
17:22:03:220,1.1445,-0.0221,0.0980,1.149
17:22:03:225,1.1029,-0.0360,0.0758,1.106
17:22:03:228,1.0582,-0.0316,0.0567,1.060
17:22:03:233,1.0091,-0.0125,0.0460,1.010
17:22:03:238,0.9626,0.0085,0.0367,0.963
17:22:03:243,0.9164,0.0256,0.0296,0.917
17:22:03:251,0.8739,0.0342,0.0252,0.875
17:22:03:253,0.8382,0.0368,0.0213,0.839
17:22:03:259,0.8089,0.0356,0.0211,0.810
17:22:03:264,0.7773,0.0373,0.0257,0.779
17:22:03:269,0.7485,0.0469,0.0316,0.751
17:22:03:273,0.7167,0.0601,0.0333,0.720
17:22:03:278,0.6979,0.0733,0.0347,0.703
